location,latitude,longitude

0,"Shelton, WA",47.2150945,-123.1007066

1,"Aloha, OR",45.4942838,-122.8670454

2,"Wichita, KS",37.68717609999999,-97.33005299999999

3,"San Francisco, CA",37.7749295,-122.4194155

4,"Evans, CO",40.3763701,-104.6921874

5,"Guthrie, OK"

6,"Chandler, AZ",33.3061605,-111.8412502

7,"Assaria, KS",38.6802826,-97.6044806

8,"Burlington, IA"

9,"Knoxville, PA",41.9572933,-77.4388719

10,"Stockton, CA",37.9577016,-121.2907796

11,"Freeport, TX",28.9541368,-95.35966169999999

12,"Columbus, OH"

13,"Des Moines, IA",41.5868353,-93.6249593

14,"New Orleans, LA"

15,"Huntley, MT",45.899401,-108.3015174

16,"Salt Lake City, UT",40.7607793,-111.8910474

17,"Strong, AR",33.1073435,-92.35668609999999

18,"Syracuse, UT",41.0893878,-112.0646657

19,"England, AR",34.5442609,-91.9690284

20,"El Paso, TX",31.7618778,-106.4850217

21,"Arcola, IL",39.684755,-88.30643669999999

22,"South Gate, CA"

23,"North Las Vegas, NV",36.1988592,-115.1175013

24,"Albuquerque, NM"

25,"Jourdanton, TX"

26,"St. Paul, MN",44.9537029,-93.0899578

27,"Franklin County, MO",38.3953601,-91.13530200000001

28,"Chesapeake, VA",36.7682088,-76.2874927

29,"Old Bridge, NJ"

30,"Lake Jackson, TX",29.0338575,-95.4343859

31,"Draper, UT",40.5246711,-111.8638226

32,"Indianapolis, IN",39.768403,-86.158068

33,"Aurora, CO",39.7294319,-104.8319195

34,"Bloomington, MN",44.840798,-93.2982799

35,"Fairfield, CA",38.2491956,-122.0405151

36,"Evangeline Parish, LA",30.7821781,-92.38136209999999

37,"Mabank, TX",32.3665322,-96.1008056

38,"Fremont, CA",37.5485396,-121.988583

39,"Muskogee, OK",35.7478769,-95.3696909

40,"Los Angeles, CA",34.0522342,-118.2436849

41,"Fort Worth, TX"

